20,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-CLI 2025.3.0 RC (1415)"
,CompMgr:,,"BEMCmpMgr 2025.3.0-RC (1083)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE 1.0.0-rc1 EXE"
,Ruleset:,,"Constructed At Runtime"
Run Title:,,,"MF8 Central Supply + Individual Exhaust (SZHP)"
Run Date/Time:,,,"2026-09-23 13:29:34"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,7320
Gross-Up adjustment to NEM3:,,,6.6,%
Model:,,,"Proposed"
Model File:,,,"C:\Users\MichaelSawford\Documents\Claude\Projects\Complex HVAC\v1.1_build\output\EX01_MF_Ventilation\1b\EX01b_MF08_CSUP_IEXH_SZHP_CZ09\EX01b_MF08_CSUP_IEXH_SZHP_CZ09.cibd25x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
1,1,10, 01/01 10,0,0,0.347797,0,0,1.69175,0,1.32977,3.17565,0.198428,0,2.03955,6.7434,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75832,1269.81,1106.78,2.3791,89.9626,100,0.000125878,0.0060051,0.006288,0,-7.52365,0,1.83385,
1,1,11, 01/01 11,0,0,0.347797,0,0,2.713,0,1.35231,14.9986,0.184743,0,3.06079,19.5965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76108,1269.81,1106.78,2.83208,89.9626,100,0.000149846,0.0060051,0.006288,0,-9.16202,0,1.83601,
1,1,12, 01/01 12,0,0,0.347797,0,0,1.77708,0,1.33088,7.31374,0.171058,0,2.12487,10.9406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76842,1269.81,1106.78,2.70532,89.9626,100,0.000143139,0.0060051,0.006288,0,-9.77442,0,1.84178,
1,1,13, 01/01 13,0,0,0.347797,0,0,1.42051,0,1.31879,0.819295,0.143689,0,1.76831,4.05009,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76476,1269.81,1106.78,2.82681,89.9626,100,0.000149566,0.0060051,0.006288,0,-9.50515,0,1.8389,
1,1,14, 01/01 14,0,0,0.347797,0,0,0.334301,0,1.35906,0.800895,0.143689,0,0.682098,2.98574,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7652,1269.81,1106.78,2.88089,89.9626,100,0.000152428,0.0060051,0.006288,0,-5.82926,0,1.83925,
1,1,15, 01/01 15,0,0,0.347797,0,0,0,0,1.42556,0.81224,0.143689,0,0.347797,2.72928,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76532,1269.81,1106.78,2.92757,89.9626,100,0.000154898,0.0060051,0.006288,0,-4.77956,0,1.83935,
1,1,16, 01/01 16,0,0,0.347797,0,0,0,0,1.49922,0.861848,0.177901,0,0.347797,2.88677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06237,1269.81,1106.78,3.29537,89.9626,100,0.000174358,0.0060051,0.006288,0,-2.92382,0,2.07264,
1,1,17, 01/01 17,0,0,0.347797,0,0,0.0519911,0,1.68241,0.989106,0.212113,0,0.399788,3.28342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35764,1269.81,1106.78,3.86875,89.9626,100,0.000204695,0.0060051,0.006288,0,-0.355207,0,2.30455,
1,1,18, 01/01 18,0,0,0.347797,0,0,0.454575,0,1.89695,1.30672,0.301063,0,0.802372,4.3071,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40918,1269.81,1106.78,3.94448,89.9626,100,0.000208702,0.0060051,0.006288,0,0,0,2.34502,
1,1,19, 01/01 19,0,0,0.347797,0,0,0.817933,0,2.03865,1.28476,0.574758,0,1.16573,5.0639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51492,1269.81,1106.78,4.16914,89.9626,100,0.000220589,0.0060051,0.006288,0,0,0,2.42807,
1,1,20, 01/01 20,0,0,0.347797,0,0,0.968632,0,2.11929,1.65412,0.800555,0,1.31643,5.8904,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60367,1269.81,1106.78,4.37739,89.9626,100,0.000231608,0.0060051,0.006288,0,0,0,2.49777,
1,1,21, 01/01 21,0,0,0.347797,0,0,1.55847,0,2.19655,0.931032,0.773183,0,1.90626,5.80703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59307,1269.81,1106.78,4.33943,89.9626,100,0.000229599,0.0060051,0.006288,0,0,0,2.48944,
1,1,22, 01/01 22,0,0,0.347797,0,0,1.30561,0,2.17607,2.72923,0.656865,0,1.65341,7.21557,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69524,1269.81,1106.78,4.51762,89.9626,100,0.000239027,0.0060051,0.006288,0,0,0,2.56969,
1,1,23, 01/01 23,0,0,0.347797,0,0,1.80173,0,1.94545,0.473557,0.431067,0,2.14953,4.9996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37868,1269.81,1106.78,4.52964,89.9626,100,0.000239663,0.0060051,0.006288,0.000277533,0,0,3.10645,
1,1,24, 01/01 24,0,0,0.347797,0,0,1.30357,0,1.65907,0.457587,0.266851,0,1.65137,4.03487,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45012,1269.81,1106.78,4.53692,89.9626,100,0.000240048,0.0060051,0.006288,0.000718441,0,0,3.94794,
1,2,1, 01/02 01,0,0,0.347797,0,0.0711035,0.133071,0,1.35815,0.407741,0.157374,0,0.551972,2.47524,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4923,1269.81,1106.78,8.44344,89.9626,100,0.000446742,0.0060051,0.006288,0.000518385,0,0,5.55184,
1,2,2, 01/02 02,0,0,0.347797,0,0.0711035,0,0,1.23878,0.392999,0.130004,0,0.4189,2.18069,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5695,1269.81,1106.78,8.43068,89.9626,100,0.000446067,0.0060051,0.006288,0.000175212,0,0,4.8271,
1,2,3, 01/02 03,0,0,0.347797,0,0.0711035,0,0,1.19145,0.379735,0.102635,0,0.4189,2.09272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1615,1269.81,1106.78,8.07648,89.9626,100,0.000427327,0.0060051,0.006288,0.000173941,0,0,4.50669,
1,2,4, 01/02 04,0,0,0.347797,0,0.0711035,0,0,1.18438,0.373963,0.11632,0,0.4189,2.09356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86281,1269.81,1106.78,5.75461,89.9626,100,0.000304476,0.0060051,0.006288,0.000305397,0,0,3.48668,
1,2,5, 01/02 05,0,0,0.347797,0,0.0711035,0,0,1.12854,0.362173,0.143689,0,0.4189,2.0533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47133,1269.81,1106.78,4.70149,89.9626,100,0.000248756,0.0060051,0.006288,0.000305397,0,0,3.17922,
1,2,6, 01/02 06,0,0,0.347797,0,0.0711035,0,0,1.22259,0.431947,0.212113,0,0.4189,2.28555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85023,1269.81,1106.78,5.73985,89.9626,100,0.000303695,0.0060051,0.006288,0.000305397,0,0,3.4768,
1,2,7, 01/02 07,0,0,0.347797,0,0.0711035,0,0,1.39369,0.509346,0.287378,0,0.4189,2.60931,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6686,1269.81,1106.78,7.50866,89.9626,100,0.000397283,0.0060051,0.006288,0.000705071,0,0,4.90494,
1,2,8, 01/02 08,0,0,0.347797,0,0.0711035,0.261196,0,1.49912,0.587747,0.280536,0,0.680096,3.0475,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60515,1269.81,1106.78,6.16084,89.9626,100,0.00032597,0.0060051,0.006288,0.000176325,-0.0340126,0,3.28432,
1,2,9, 01/02 09,0,0,0.347797,0,0.0711035,1.0981,0,1.3898,0.579383,0.23264,0,1.517,3.71883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49882,1269.81,1106.78,5.20798,89.9626,100,0.000275554,0.0060051,0.006288,0,-0.805243,0,2.41543,
1,2,10, 01/02 10,0,0,0.347797,0,0,2.20146,0,1.30466,0.519692,0.198428,0,2.54926,4.57204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4775,1269.81,1106.78,5.20583,89.9626,100,0.00027544,0.0060051,0.006288,0,-0.85445,0,2.39868,
1,2,11, 01/02 11,0,0,0.347797,0,0,2.3453,0,1.32012,1.26904,0.184743,0,2.6931,5.46701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47671,1269.81,1106.78,5.22056,89.9626,100,0.00027622,0.0060051,0.006288,0,-1.14171,0,2.39806,
1,2,12, 01/02 12,0,0,0.347797,0,0,1.53241,0,1.32012,1.7573,0.171058,0,1.88021,5.12869,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47253,1269.81,1106.78,4.12507,89.9626,100,0.000218257,0.0060051,0.006288,0,-1.39498,0,2.39477,
1,2,13, 01/02 13,0,0,0.347797,0,0,0.820564,0,1.32217,0.813617,0.143689,0,1.16836,3.44784,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46866,1269.81,1106.78,4.06489,89.9626,100,0.000215074,0.0060051,0.006288,0,-1.48389,0,2.39174,
1,2,14, 01/02 14,0,0,0.347797,0,0,0.955751,0,1.35189,0.577978,0.143689,0,1.30355,3.3771,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47764,1269.81,1106.78,4.09321,89.9626,100,0.000216572,0.0060051,0.006288,0,-0.737417,0,2.39879,
1,2,15, 01/02 15,0.0982687,0,0.361912,0,0.0711035,1.01194,0,1.40086,0.598352,0.143689,0,1.54322,3.68613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48356,1269.81,1106.78,4.08768,89.9626,100,0.000216279,0.0060051,0.006288,0,-0.82597,0,2.40344,
1,2,16, 01/02 16,0.0771674,0,0.358935,0,0.0700812,0.597127,0,1.44256,0.967683,0.177901,0,1.10331,3.69145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7661,1269.81,1106.78,4.78592,89.9626,100,0.000253223,0.0060051,0.006288,0,-0.332133,0,2.62534,
1,2,17, 01/02 17,0.0574388,0,0.35614,0,0.0702969,0.45594,0,1.62943,3.28161,0.212113,0,0.939816,6.06297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33289,1269.81,1106.78,6.19968,89.9626,100,0.000328025,0.0060051,0.006288,0,-0.021622,0,3.07049,
1,2,18, 01/02 18,0.128992,0,0.366654,0,0.0704993,0.479746,0,1.87574,1.60738,0.301063,0,1.04589,4.83007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82542,1269.81,1106.78,7.16031,89.9626,100,0.000378852,0.0060051,0.006288,0,0,0,3.45732,
1,2,19, 01/02 19,0.0302839,0,0.352201,0,0.0697378,0.505812,0,2.04213,1.56918,0.574758,0,0.958034,5.1441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7605,1269.81,1106.78,8.51113,89.9626,100,0.000450324,0.0060051,0.006288,0.000284725,0,0,4.97713,
1,2,20, 01/02 20,0,0,0.347797,0,0.0707847,0.340504,0,2.14768,1.33619,0.800555,0,0.759086,5.04351,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2007,1269.81,1106.78,8.50474,89.9626,100,0.000449986,0.0060051,0.006288,0.00038495,0,0,5.32284,
1,2,21, 01/02 21,0,0,0.347797,0,0.0711035,0.676572,0,2.23908,3.62261,0.773183,0,1.09547,7.73034,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3245,1269.81,1106.78,8.48575,89.9626,100,0.000448981,0.0060051,0.006288,0.000461274,0,0,5.42002,
1,2,22, 01/02 22,0.0652546,0,0.357348,0,0.0711035,2.2075,0,2.22228,0.556529,0.656865,0,2.7012,6.13688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5875,1269.81,1106.78,8.50291,89.9626,100,0.000449889,0.0060051,0.006288,0.00092845,0,0,6.412,
1,2,23, 01/02 23,0.230901,0,0.381866,0,0.070412,2.95889,0,1.97035,0.478594,0.431067,0,3.64207,6.52208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42,1269.81,1106.78,8.49235,89.9626,100,0.00044933,0.0060051,0.006288,0.00129511,0,0,7.0658,
1,2,24, 01/02 24,0.399526,0,0.407234,0,0.0686361,1.04251,0,1.68828,0.428825,0.266851,0,1.91791,4.30186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3355,1269.81,1106.78,8.49617,89.9626,100,0.000449532,0.0060051,0.006288,0.00200438,0,0,8.57027,
1,3,1, 01/03 01,0.5019,0,0.422289,0,0.066799,0.292077,0,1.36184,0.410686,0.157374,0,1.28306,3.21297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2566,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00315686,0,0,12.4352,
1,3,2, 01/03 02,0.659818,0,0.44544,0,0.0656059,0,0,1.25303,0.388505,0.130004,0,1.17086,2.9424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7558,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00289045,0,0,11.2565,
1,3,3, 01/03 03,0.730871,0,0.455701,0,0.0634896,0,0,1.18786,0.376145,0.102635,0,1.25006,2.9167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0147,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00147004,0,0,8.3183,
1,3,4, 01/03 04,0.792436,0,0.464926,0,0.0625681,0,0,1.18448,0.367865,0.11632,0,1.31993,2.98859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3326,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000826297,0,0,6.99717,
1,3,5, 01/03 05,0.960428,0,0.491492,0,0.0617489,0,0,1.12495,0.354003,0.143689,0,1.51367,3.13631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.834,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000617401,0,0,6.60562,
1,3,6, 01/03 06,0.865668,0,0.477495,0,0.0594825,0.781862,0,1.219,0.364292,0.212113,0,2.18451,3.97991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6111,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000899268,0,0,7.21596,
1,3,7, 01/03 07,0.660176,0,0.446127,0,0.0606235,0.617313,0,1.369,0.400363,0.287378,0,1.78424,3.84098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0811,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00214869,0,0,9.94118,
1,3,8, 01/03 08,0.766637,0,0.462163,0,0.0632206,2.46693,0,1.47074,0.535804,0.280536,0,3.75895,6.04603,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5958,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000723813,0,0,7.20392,
1,3,9, 01/03 09,0.602115,0,0.437103,0,0.061857,0.62901,0,1.38294,1.59697,0.23264,0,1.73008,4.94264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97556,1269.81,1106.78,4.46339,89.9626,100,0.000236158,0.0060051,0.006288,9.27e-05,-0.336757,0,2.78985,
1,3,10, 01/03 10,0.469005,0,0.416726,0,0.063719,1.97683,0,1.32977,2.80526,0.198428,0,2.92628,7.25974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74068,1269.81,1106.78,4.39805,89.9626,100,0.000232701,0.0060051,0.006288,0,-0.888605,0,2.60538,
1,3,11, 01/03 11,0.256754,0,0.384903,0,0.066068,2.75241,0,1.35231,8.16004,0.184743,0,3.46014,13.1572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75674,1269.81,1106.78,4.44371,89.9626,100,0.000235117,0.0060051,0.006288,0,-2.66295,0,2.61799,
1,3,12, 01/03 12,0.170985,0,0.372216,0,0,3.36336,0,1.33088,4.29291,0.171058,0,3.90656,9.70142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.707,1269.81,1106.78,4.34041,89.9626,100,0.000229651,0.0060051,0.006288,0,-3.64744,0,2.57892,
1,3,13, 01/03 13,0.0876099,0,0.360165,0,0,2.86332,0,1.31879,6.24885,0.143689,0,3.31109,11.0224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73107,1269.81,1106.78,4.37915,89.9626,100,0.000231701,0.0060051,0.006288,0,-4.20074,0,2.59783,
1,3,14, 01/03 14,0,0,0.347797,0,0,2.84021,0,1.35906,5.48001,0.143689,0,3.18801,10.1708,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69318,1269.81,1106.78,4.31964,89.9626,100,0.000228552,0.0060051,0.006288,0,-5.94186,0,2.56807,
1,3,15, 01/03 15,0,0,0.347797,0,0,1.55963,0,1.42556,6.8768,0.143689,0,1.90743,10.3535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68832,1269.81,1106.78,4.32262,89.9626,100,0.00022871,0.0060051,0.006288,0,-5.12794,0,2.56425,
1,3,16, 01/03 16,0,0,0.347797,0,0,1.86493,0,1.49922,4.67988,0.177901,0,2.21272,8.56973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70945,1269.81,1106.78,4.33844,89.9626,100,0.000229547,0.0060051,0.006288,0,-1.60665,0,2.58085,
1,3,17, 01/03 17,0,0,0.347797,0,0,1.57742,0,1.68241,5.10042,0.212113,0,1.92521,8.92015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37663,1269.81,1106.78,7.14458,89.9626,100,0.00037802,0.0060051,0.006288,0,-0.178957,0,3.89023,
1,3,18, 01/03 18,0,0,0.347797,0,0,0.776983,0,1.89695,4.20952,0.301063,0,1.12478,7.53231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7498,1269.81,1106.78,8.67195,89.9626,100,0.000458833,0.0060051,0.006288,0,0,0,6.53951,
1,3,19, 01/03 19,0,0,0.347797,0,0,1.22321,0,2.03865,5.90536,0.574758,0,1.571,10.0898,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8204,1269.81,1106.78,8.67195,89.9626,100,0.000458833,0.0060051,0.006288,0,0,0,7.38032,
1,3,20, 01/03 20,0,0,0.347797,0,0,1.75072,0,2.11929,3.3411,0.800555,0,2.09852,8.35947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6441,1269.81,1106.78,8.67195,89.9626,100,0.000458833,0.0060051,0.006288,0,0,0,6.45646,
