20,5,"Row/Col hourly results data begin"
"Hourly Results of CEC Compliance Manager"
,Software:,,"CBECC-CLI 2025.3.0 RC (1415)"
,CompMgr:,,"BEMCmpMgr 2025.3.0-RC (1083)"
,OpenStudio:,,"n/a"
,EnergyPlus:,,"n/a"
,CSE:,,"CSE 1.0.0-rc1 EXE"
,Ruleset:,,"Constructed At Runtime"
Run Title:,,,"MF08 Individual Supply + Central Exhaust (SZHP)"
Run Date/Time:,,,"2026-09-23 13:25:25"
NonRes Cond. Area:,,,0
Residential Cond. Area:,,,7320
Gross-Up adjustment to NEM3:,,,6.6,%
Model:,,,"Proposed"
Model File:,,,"C:\Users\MichaelSawford\Documents\Claude\Projects\Complex HVAC\v1.1_build\output\EX01_MF_Ventilation\1a\EX01a_MF08_ISUP_CEXH_SZHP_CZ09\EX01a_MF08_ISUP_CEXH_SZHP_CZ09.cibd25x"

,,,,Site Electric Use,,,,,,,,,,,,,Site Natural Gas Use,,,,,,,,,,,,,Site Propane Use,,,,,,,,,,,,,LSC Multipliers,,,Source Energy Multipliers,,,CO2 Emissions Multipliers,,,Elec Demand,Building Wide,
,,,Local Time,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Spc Heat,Spc Cool,Indr Fans,Heat Rej,Pump&Misc,Dom HW,Lighting,Recept,Process,Othr Ltg,Proc Mtrs,Tot Comp,TOTAL,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,Electric,NatGas,OtherFuel,,PV,Battery,NEM3 LSC,
1,1,10, 01/01 10,0,0,0.259461,0,0,1.6919,0,1.32977,3.17535,0.198428,0,1.95136,6.65491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.75832,1269.81,1106.78,2.3791,89.9626,100,0.000125878,0.0060051,0.006288,0,-7.52365,0,1.83385,
1,1,11, 01/01 11,0,0,0.259461,0,0,2.71313,0,1.35231,14.9984,0.184743,0,2.97259,19.508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76108,1269.81,1106.78,2.83208,89.9626,100,0.000149846,0.0060051,0.006288,0,-9.16202,0,1.83601,
1,1,12, 01/01 12,0,0,0.259461,0,0,1.77733,0,1.33088,7.31344,0.171058,0,2.03679,10.8522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76842,1269.81,1106.78,2.70532,89.9626,100,0.000143139,0.0060051,0.006288,0,-9.77442,0,1.84178,
1,1,13, 01/01 13,0,0,0.259461,0,0,1.42075,0,1.31879,0.818994,0.143689,0,1.68022,3.96169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76476,1269.81,1106.78,2.82681,89.9626,100,0.000149566,0.0060051,0.006288,0,-9.50515,0,1.8389,
1,1,14, 01/01 14,0,0,0.259461,0,0,0.334515,0,1.35906,0.800593,0.143689,0,0.593977,2.89732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.7652,1269.81,1106.78,2.88089,89.9626,100,0.000152428,0.0060051,0.006288,0,-5.82926,0,1.83925,
1,1,15, 01/01 15,0,0,0.259461,0,0,0,0,1.42556,0.811926,0.143689,0,0.259461,2.64063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.76532,1269.81,1106.78,2.92757,89.9626,100,0.000154898,0.0060051,0.006288,0,-4.77956,0,1.83935,
1,1,16, 01/01 16,0,0,0.259461,0,0,0,0,1.49922,0.861608,0.177901,0,0.259461,2.79819,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.06237,1269.81,1106.78,3.29537,89.9626,100,0.000174358,0.0060051,0.006288,0,-2.92382,0,2.07264,
1,1,17, 01/01 17,0,0,0.259461,0,0,0.0519911,0,1.68241,0.988767,0.212113,0,0.311453,3.19474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.35764,1269.81,1106.78,3.86875,89.9626,100,0.000204695,0.0060051,0.006288,0,-0.355207,0,2.30455,
1,1,18, 01/01 18,0,0,0.259461,0,0,0.454572,0,1.89695,1.30641,0.301063,0,0.714033,4.21845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.40918,1269.81,1106.78,3.94448,89.9626,100,0.000208702,0.0060051,0.006288,0,0,0,2.34502,
1,1,19, 01/01 19,0,0,0.259461,0,0,0.817927,0,2.03865,1.28454,0.574758,0,1.07739,4.97534,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.51492,1269.81,1106.78,4.16914,89.9626,100,0.000220589,0.0060051,0.006288,0,0,0,2.42807,
1,1,20, 01/01 20,0,0,0.259461,0,0,0.968623,0,2.11929,1.65389,0.800555,0,1.22808,5.80182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.60367,1269.81,1106.78,4.37739,89.9626,100,0.000231608,0.0060051,0.006288,0,0,0,2.49777,
1,1,21, 01/01 21,0,0,0.259461,0,0,1.55849,0,2.19655,0.930766,0.773183,0,1.81795,5.71845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.59307,1269.81,1106.78,4.33943,89.9626,100,0.000229599,0.0060051,0.006288,0,0,0,2.48944,
1,1,22, 01/01 22,0,0,0.259461,0,0,1.32264,0,2.17607,2.72896,0.656865,0,1.5821,7.144,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69524,1269.81,1106.78,4.51762,89.9626,100,0.000239027,0.0060051,0.006288,0,0,0,2.56969,
1,1,23, 01/01 23,0,0,0.259461,0,0,1.79288,0,1.94545,0.473202,0.431067,0,2.05235,4.90206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.37868,1269.81,1106.78,4.52964,89.9626,100,0.000239663,0.0060051,0.006288,0.000277533,0,0,3.10645,
1,1,24, 01/01 24,0,0,0.259461,0,0,1.29525,0,1.65907,0.457364,0.266851,0,1.55471,3.93799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.45012,1269.81,1106.78,4.53692,89.9626,100,0.000240048,0.0060051,0.006288,0.000718441,0,0,3.94794,
1,2,1, 01/02 01,0,0,0.259461,0,0.0710671,0.133216,0,1.35815,0.407404,0.157374,0,0.463745,2.38667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4923,1269.81,1106.78,8.44344,89.9626,100,0.000446742,0.0060051,0.006288,0.000518385,0,0,5.55184,
1,2,2, 01/02 02,0,0,0.259461,0,0.0710671,0,0,1.23878,0.392709,0.130004,0,0.330529,2.09203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.5695,1269.81,1106.78,8.43068,89.9626,100,0.000446067,0.0060051,0.006288,0.000175212,0,0,4.8271,
1,2,3, 01/02 03,0,0,0.259461,0,0.0710671,0,0,1.19145,0.379442,0.102635,0,0.330529,2.00406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.1615,1269.81,1106.78,8.07648,89.9626,100,0.000427327,0.0060051,0.006288,0.000173941,0,0,4.50669,
1,2,4, 01/02 04,0,0,0.259461,0,0.0710671,0,0,1.18438,0.373679,0.11632,0,0.330529,2.0049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.86281,1269.81,1106.78,5.75461,89.9626,100,0.000304476,0.0060051,0.006288,0.000305397,0,0,3.48668,
1,2,5, 01/02 05,0,0,0.259461,0,0.0710671,0,0,1.12854,0.361856,0.143689,0,0.330529,1.96462,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.47133,1269.81,1106.78,4.70149,89.9626,100,0.000248756,0.0060051,0.006288,0.000305397,0,0,3.17922,
1,2,6, 01/02 06,0,0,0.259461,0,0.0710671,0,0,1.22259,0.431572,0.212113,0,0.330529,2.1968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.85023,1269.81,1106.78,5.73985,89.9626,100,0.000303695,0.0060051,0.006288,0.000305397,0,0,3.4768,
1,2,7, 01/02 07,0,0,0.259461,0,0.0710671,0,0,1.39369,0.509038,0.287378,0,0.330529,2.52063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.6686,1269.81,1106.78,7.50866,89.9626,100,0.000397283,0.0060051,0.006288,0.000705071,0,0,4.90494,
1,2,8, 01/02 08,0,0,0.259461,0,0.0710671,0.269169,0,1.49912,0.587513,0.280536,0,0.599697,2.96687,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.60515,1269.81,1106.78,6.16084,89.9626,100,0.00032597,0.0060051,0.006288,0.000176325,-0.0340126,0,3.28432,
1,2,9, 01/02 09,0,0,0.259461,0,0.0710671,1.10668,0,1.3898,0.579123,0.23264,0,1.43721,3.63878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.49882,1269.81,1106.78,5.20798,89.9626,100,0.000275554,0.0060051,0.006288,0,-0.805243,0,2.41543,
1,2,10, 01/02 10,0,0,0.259461,0,0,2.20246,0,1.30466,0.519367,0.198428,0,2.46192,4.48438,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4775,1269.81,1106.78,5.20583,89.9626,100,0.00027544,0.0060051,0.006288,0,-0.85445,0,2.39868,
1,2,11, 01/02 11,0,0,0.259461,0,0,2.32933,0,1.32012,1.26872,0.184743,0,2.58879,5.36238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47671,1269.81,1106.78,5.22056,89.9626,100,0.00027622,0.0060051,0.006288,0,-1.14171,0,2.39806,
1,2,12, 01/02 12,0,0,0.259461,0,0,1.53254,0,1.32012,1.75698,0.171058,0,1.792,5.04017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47253,1269.81,1106.78,4.12507,89.9626,100,0.000218257,0.0060051,0.006288,0,-1.39498,0,2.39477,
1,2,13, 01/02 13,0,0,0.259461,0,0,0.821335,0,1.32217,0.813345,0.143689,0,1.0808,3.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46866,1269.81,1106.78,4.06489,89.9626,100,0.000215074,0.0060051,0.006288,0,-1.48389,0,2.39174,
1,2,14, 01/02 14,0.029574,0,0.263687,0,0,0.955751,0,1.35189,0.577685,0.143689,0,1.24901,3.32227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.47764,1269.81,1106.78,4.09321,89.9626,100,0.000216572,0.0060051,0.006288,0,-0.737417,0,2.39879,
1,2,15, 01/02 15,0.131409,0,0.278343,0,0.070761,1.01194,0,1.40086,0.598135,0.143689,0,1.49245,3.63514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.48356,1269.81,1106.78,4.08768,89.9626,100,0.000216279,0.0060051,0.006288,0,-0.82597,0,2.40344,
1,2,16, 01/02 16,0.0992444,0,0.273791,0,0.0696997,0.597289,0,1.44256,0.967566,0.177901,0,1.04002,3.62805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.7661,1269.81,1106.78,4.78592,89.9626,100,0.000253223,0.0060051,0.006288,0,-0.332133,0,2.62534,
1,2,17, 01/02 17,0.0751103,0,0.270373,0,0.0700293,0.455926,0,1.62943,3.28145,0.212113,0,0.871438,5.99444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.33289,1269.81,1106.78,6.19968,89.9626,100,0.000328025,0.0060051,0.006288,0,-0.021622,0,3.07049,
1,2,18, 01/02 18,0.144345,0,0.280571,0,0.0702769,0.479751,0,1.87574,1.60722,0.301063,0,0.974943,4.75896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.82542,1269.81,1106.78,7.16031,89.9626,100,0.000378852,0.0060051,0.006288,0,0,0,3.45732,
1,2,19, 01/02 19,0.0434223,0,0.265776,0,0.0695383,0.505791,0,2.04213,1.56904,0.574758,0,0.884527,5.07046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7605,1269.81,1106.78,8.51113,89.9626,100,0.000450324,0.0060051,0.006288,0.000284725,0,0,4.97713,
1,2,20, 01/02 20,0,0,0.259461,0,0.0706098,0.340727,0,2.14768,1.33608,0.800555,0,0.670798,4.95511,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.2007,1269.81,1106.78,8.50474,89.9626,100,0.000449986,0.0060051,0.006288,0.00038495,0,0,5.32284,
1,2,21, 01/02 21,0,0,0.259461,0,0.0710671,0.684553,0,2.23908,3.62246,0.773183,0,1.01508,7.6498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3245,1269.81,1106.78,8.48575,89.9626,100,0.000448981,0.0060051,0.006288,0.000461274,0,0,5.42002,
1,2,22, 01/02 22,0.0860263,0,0.272058,0,0.0710671,2.20778,0,2.22228,0.556344,0.656865,0,2.63694,6.07243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5875,1269.81,1106.78,8.50291,89.9626,100,0.000449889,0.0060051,0.006288,0.00092845,0,0,6.412,
1,2,23, 01/02 23,0.24158,0,0.295115,0,0.0701547,2.94946,0,1.97035,0.47845,0.431067,0,3.55631,6.43618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.42,1269.81,1106.78,8.49235,89.9626,100,0.00044933,0.0060051,0.006288,0.00129511,0,0,7.0658,
1,2,24, 01/02 24,0.409245,0,0.320359,0,0.0684849,1.04268,0,1.68828,0.428658,0.266851,0,1.84077,4.22456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3355,1269.81,1106.78,8.49617,89.9626,100,0.000449532,0.0060051,0.006288,0.00200438,0,0,8.57027,
1,3,1, 01/03 01,0.543058,0,0.34006,0,0.0666566,0.292318,0,1.36184,0.410563,0.157374,0,1.24209,3.17187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2566,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00315686,0,0,12.4352,
1,3,2, 01/03 02,0.689054,0,0.361462,0,0.0650141,0,0,1.25303,0.388443,0.130004,0,1.11553,2.887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7558,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00289045,0,0,11.2565,
1,3,3, 01/03 03,0.754774,0,0.370929,0,0.0630583,0,0,1.18786,0.376145,0.102635,0,1.18876,2.8554,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0147,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00147004,0,0,8.3183,
1,3,4, 01/03 04,0.812635,0,0.37961,0,0.0622086,0,0,1.18448,0.367865,0.11632,0,1.25445,2.92311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3326,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000826297,0,0,6.99717,
1,3,5, 01/03 05,0.978157,0,0.40585,0,0.0614377,0,0,1.12495,0.354003,0.143689,0,1.44544,3.06809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.834,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000617401,0,0,6.60562,
1,3,6, 01/03 06,0.881329,0,0.39154,0,0.0591986,0.782032,0,1.219,0.364292,0.212113,0,2.1141,3.90951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6111,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000899268,0,0,7.21596,
1,3,7, 01/03 07,0.674023,0,0.359875,0,0.0603685,0.617448,0,1.369,0.400363,0.287378,0,1.71171,3.76845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0811,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.00214869,0,0,9.94118,
1,3,8, 01/03 08,0.779307,0,0.375743,0,0.0629947,2.46693,0,1.47074,0.535804,0.280536,0,3.68497,5.97205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5958,1269.81,1106.78,8.66731,89.9626,100,0.000458588,0.0060051,0.006288,0.000723813,0,0,7.20392,
1,3,9, 01/03 09,0.61356,0,0.350485,0,0.0616443,0.661483,0,1.38294,1.59697,0.23264,0,1.68717,4.89973,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.97556,1269.81,1106.78,4.46339,89.9626,100,0.000236158,0.0060051,0.006288,9.27e-05,-0.336757,0,2.78985,
1,3,10, 01/03 10,0.476576,0,0.329508,0,0.0635247,1.96221,0,1.32977,2.80526,0.198428,0,2.83182,7.16529,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.74068,1269.81,1106.78,4.39805,89.9626,100,0.000232701,0.0060051,0.006288,0,-0.888605,0,2.60538,
1,3,11, 01/03 11,0.260036,0,0.297045,0,0.0659364,2.75311,0,1.35231,8.16004,0.184743,0,3.37613,13.0732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75674,1269.81,1106.78,4.44371,89.9626,100,0.000235117,0.0060051,0.006288,0,-2.66295,0,2.61799,
1,3,12, 01/03 12,0.174149,0,0.284334,0,0,3.3598,0,1.33088,4.29289,0.171058,0,3.81828,9.61311,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.707,1269.81,1106.78,4.34041,89.9626,100,0.000229651,0.0060051,0.006288,0,-3.64744,0,2.57892,
1,3,13, 01/03 13,0.0906914,0,0.272264,0,0,2.85185,0,1.31879,6.24881,0.143689,0,3.2148,10.9261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.73107,1269.81,1106.78,4.37915,89.9626,100,0.000231701,0.0060051,0.006288,0,-4.20074,0,2.59783,
1,3,14, 01/03 14,0,0,0.259461,0,0,2.84016,0,1.35906,5.47997,0.143689,0,3.09962,10.0823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.69318,1269.81,1106.78,4.31964,89.9626,100,0.000228552,0.0060051,0.006288,0,-5.94186,0,2.56807,
1,3,15, 01/03 15,0,0,0.259461,0,0,1.55974,0,1.42556,6.87675,0.143689,0,1.8192,10.2652,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.68832,1269.81,1106.78,4.32262,89.9626,100,0.00022871,0.0060051,0.006288,0,-5.12794,0,2.56425,
1,3,16, 01/03 16,0,0,0.259461,0,0,1.86505,0,1.49922,4.67983,0.177901,0,2.12451,8.48147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.70945,1269.81,1106.78,4.33844,89.9626,100,0.000229547,0.0060051,0.006288,0,-1.60665,0,2.58085,
1,3,17, 01/03 17,0,0,0.259461,0,0,1.57472,0,1.68241,5.10034,0.212113,0,1.83418,8.82905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.37663,1269.81,1106.78,7.14458,89.9626,100,0.00037802,0.0060051,0.006288,0,-0.178957,0,3.89023,
1,3,18, 01/03 18,0,0,0.259461,0,0,0.777028,0,1.89695,4.20944,0.301063,0,1.03649,7.44395,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7498,1269.81,1106.78,8.67195,89.9626,100,0.000458833,0.0060051,0.006288,0,0,0,6.53951,
1,3,19, 01/03 19,0,0,0.259461,0,0,1.2398,0,2.03865,5.90531,0.574758,0,1.49926,10.018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.8204,1269.81,1106.78,8.67195,89.9626,100,0.000458833,0.0060051,0.006288,0,0,0,7.38032,
1,3,20, 01/03 20,0,0,0.259461,0,0,1.73411,0,2.11929,3.34104,0.800555,0,1.99358,8.25446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6441,1269.81,1106.78,8.67195,89.9626,100,0.000458833,0.0060051,0.006288,0,0,0,6.45646,
